TIPO|"ID "|NOME|DESCRIÇÃO|SOCIAL|MIDIÁTICO|MONETÁRIO|POLÍTICO
Empresario|EMPRE_1|João|descricao|0|0|0|0
Empresario|EMPRE_2|Samir|descricao|0|0|0|0
Empresario|EMPRE_3|Lucena|descricao|0|0|0|0
Empresario|EMPRE_4|Luan|descricao|0|0|0|0
Empresario|EMPRE_5|Iury|descricao|0|0|0|0
Ato1|ATO_1_1||“O Hotel Reis Magos também influenciou na criação de uma identidade dos moradores da cidade de Natal, originando o nome da Rua do Motor, que leva esse nome por ter abrigado um gerador de energia do hotel.”|4|0|0|0
Ato1|ATO_1_2||“O Hotel foi inaugurado em 1965, como parte de um esforço do Governo do Rio Grande do Norte-RN, para estimular o turismo”.|0|0|0|4
Ato1|ATO_1_3||“Com a inauguração do Reis Magos, a cidade de Natal começou a receber turistas de várias partes do Brasil e do mundo”.|0|0|0|3
Ato1|ATO_1_4||“O Hotel foi o primeiro da cidade de Natal a ocupar terrenos à beira da praia, trazendo: iluminação; calçamentos; galerias; delegacias; desenvolvimento do comércio, bares e restaurantes e expansão da malha urbana”.|0|0|4|0
Ato1|ATO_1_5||“Em 1950, o Governo do Estado do RN, optou por priorizar investimentos na cidade de Natal na indústria do turismo, já que existia um potencial para o turismo de sol e mar, por meio das belezas naturais, como praias e dunas”.|0|0|4|0
Ato1|ATO_1_6||“O Hotel Reis Magos contribuiu para ações que possibilitaram o prolongamento das conexões entre a cidade e o aeroporto de Parnamirim, estimulando transformações no sentido sul da cidade de Natal”.|0|0|2|2
Ato1|ATO_1_7||“Até então, a única acomodação que mantinha padrão hoteleiro na cidade de Natal, desde 1939, era o Grande Hotel, localizado no bairro da Ribeira”.|0|0|2|2
Ato1|ATO_1_8||“Com recursos do Governo Federal e do Banco Interamericano de Desenvolvimento, o Governo do Rio Grande do Norte construiu quatro hotéis no estado, dentre eles, na cidade Natal, o Hotel Internacional Reis Magos.”|0|0|2|1
Ato1|ATO_1_9||“No início do século 17 e as margens do Rio Potengi, foi fundada a cidade de Natal que tem esse nome porque foi estabelecida em 25 de dezembro de 1599”.|0|0|0|4
Ato1|ATO_1_10||“O Hotel foi o primeiro da cidade de Natal a ocupar terrenos à beira da praia, trazendo: iluminação; calçamentos; galerias; delegacias; desenvolvimento do comércio, bares e restaurantes e expansão da malha urbana”.|0|4|0|0
Ato2|ATO_2_1||“Uma Cadeia brasileira de Hotéis, adquiriu em 22 de dezembro de 1977, em leilão e oferta pública, o Hotel por US$ 1.140.150,38”.|0|0|4|0
Ato2|ATO_2_2||“No início dos anos 1990, o governo do RN em parceria com o governo brasileiro inicia a construção da Rota do Sol, ligando Ponta Negra às demais praias do litoral sul do estado”.|0|0|2|2
Ato2|ATO_2_3||“No início dos anos 1990, a construção da Rota do Sol, ligando Ponta Negra às demais praias do litoral sul torna, a praia de Ponta Negra, o eixo de desenvolvimento turístico de Natal”.|0|0|2|2
